Тур,Дата,Господарі,Рахунок,Гості
1,"23.07.2021. П`ятниця, 19:30",Львів,1:1,Маріуполь
1,"24.07.2021. Субота, 17:00",Верес,0:0,Колос
1,"24.07.2021. Субота, 19:30",Шахтар,2:1,Інгулець
1,"25.07.2021. Неділя, 17:00",Металіст1925,2:1,Рух
1,"25.07.2021. Неділя, 19:30",Десна,3:0,Чорноморець
1,"25.07.2021. Неділя, 19:30",Зоря,0:1,Олександрія
1,"26.07.2021. Понеділок, 19:30",Ворскла,2:2,Дніпро-1
1,"11.08.2021. Середа, 19:30",Динамо,2:0,Минай
2,"30.07.2021. П`ятниця, 19:00",Львів,0:3,Шахтар
2,"30.07.2021. П`ятниця, 21:00",Колос,1:0,Металіст1925
2,"31.07.2021. Субота, 17:00",Минай,1:0,Олександрія
2,"31.07.2021. Субота, 19:30",Чорноморець,0:3,Дніпро-1
2,"01.08.2021. Неділя, 17:00",Маріуполь,1:2,Десна
2,"01.08.2021. Неділя, 19:30",Динамо,4:0,Верес
2,"01.08.2021. Неділя, 19:30",Ворскла,2:0,Рух
2,"02.08.2021. Понеділок, 19:30",Інгулець,1:5,Зоря
3,"06.08.2021. П`ятниця, 19:30",Металіст1925,3:2,Чорноморець
3,"07.08.2021. Субота, 17:00",Рух,2:1,Верес
3,"07.08.2021. Субота, 19:30",Шахтар,1:2,Олександрія
3,"07.08.2021. Субота, 19:30",Дніпро-1,2:1,Маріуполь
3,"08.08.2021. Неділя, 19:30",Ворскла,4:1,Львів
3,"08.08.2021. Неділя, 19:30",Зоря,1:2,Динамо
3,"09.08.2021. Понеділок, 19:30",Десна,2:0,Інгулець
3,"24.11.2021. Середа, 14:00",Минай,1:1,Колос
4,"13.08.2021. П`ятниця, 19:30",Шахтар,2:0,Металіст1925
4,"14.08.2021. Субота, 17:00",Верес,1:1,Ворскла
4,"14.08.2021. Субота, 19:30",Зоря,1:1,Минай
4,"14.08.2021. Субота, 19:30",Десна,2:1,Дніпро-1
4,"15.08.2021. Неділя, 17:00",Колос,1:1,Рух
4,"15.08.2021. Неділя, 19:30",Львів,1:1,Олександрія
4,"16.08.2021. Понеділок, 19:00",Маріуполь,2:3,Чорноморець
4,"18.08.2021. Середа, 19:30",Інгулець,1:1,Динамо
5,"20.08.2021. П`ятниця, 19:30",Ворскла,2:0,Металіст1925
5,"21.08.2021. Субота, 17:00",Верес,1:0,Минай
5,"21.08.2021. Субота, 19:30",Чорноморець,0:3,Шахтар
5,"21.08.2021. Субота, 19:30",Дніпро-1,2:0,Рух
5,"22.08.2021. Неділя, 17:00",Маріуполь,3:4,Зоря
5,"22.08.2021. Неділя, 19:30",Колос,0:1,Олександрія
5,"22.08.2021. Неділя, 21:30",Динамо,4:0,Десна
5,"23.08.2021. Понеділок, 19:30",Львів,1:2,Інгулець
6,"27.08.2021. П`ятниця, 19:30",Чорноморець,2:2,Олександрія
6,"28.08.2021. Субота, 14:00",Інгулець,3:0,Маріуполь
6,"28.08.2021. Субота, 17:00",Металіст1925,1:2,Дніпро-1
6,"28.08.2021. Субота, 19:30",Динамо,7:0,Колос
6,"29.08.2021. Неділя, 14:00",Десна,0:4,Верес
6,"29.08.2021. Неділя, 17:00",Минай,1:1,Шахтар
6,"29.08.2021. Неділя, 19:30",Рух,1:0,Львів
6,"29.08.2021. Неділя, 19:30",Зоря,1:0,Ворскла
7,"10.09.2021. П`ятниця, 19:30",Олександрія,1:0,Інгулець
7,"11.09.2021. Субота, 14:00",Рух,1:1,Зоря
7,"11.09.2021. Субота, 17:00",Металіст1925,0:2,Динамо
7,"11.09.2021. Субота, 19:30",Шахтар,2:0,Дніпро-1
7,"12.09.2021. Неділя, 14:00",Минай,2:2,Чорноморець
7,"12.09.2021. Неділя, 17:00",Колос,1:3,Маріуполь
7,"12.09.2021. Неділя, 19:30",Ворскла,2:2,Десна
7,"13.09.2021. Понеділок, 19:30",Верес,1:0,Львів
8,"17.09.2021. П`ятниця, 19:30",Десна,1:0,Рух
8,"18.09.2021. Субота, 14:00",Інгулець,0:2,Колос
8,"18.09.2021. Субота, 17:00",Маріуполь,0:5,Шахтар
8,"18.09.2021. Субота, 17:00",Дніпро-1,1:0,Верес
8,"18.09.2021. Субота, 19:30",Динамо,1:0,Олександрія
8,"19.09.2021. Неділя, 17:00",Ворскла,2:0,Минай
8,"19.09.2021. Неділя, 19:30",Зоря,3:0,Чорноморець
8,"19.09.2021. Неділя, 19:30",Львів,0:0,Металіст1925
9,"24.09.2021. П`ятниця, 19:30",Колос,0:1,Ворскла
9,"25.09.2021. Субота, 14:00",Олександрія,2:1,Маріуполь
9,"25.09.2021. Субота, 17:00",Шахтар,4:1,Верес
9,"25.09.2021. Субота, 19:30",Рух,0:2,Динамо
9,"26.09.2021. Неділя, 14:00",Минай,1:2,Львів
9,"26.09.2021. Неділя, 17:00",Дніпро-1,0:4,Зоря
9,"26.09.2021. Неділя, 19:30",Десна,1:2,Металіст1925
9,"27.09.2021. Понеділок, 19:30",Чорноморець,1:1,Інгулець
10,"01.10.2021. П`ятниця, 19:30",Маріуполь,0:2,Рух
10,"02.10.2021. Субота, 14:00",Колос,2:1,Чорноморець
10,"02.10.2021. Субота, 17:00",Львів,0:1,Дніпро-1
10,"02.10.2021. Субота, 19:30",Ворскла,3:0,Інгулець
10,"03.10.2021. Неділя, 14:00",Верес,0:0,Олександрія
10,"03.10.2021. Неділя, 17:00",Зоря,2:0,Десна
10,"03.10.2021. Неділя, 17:00",Металіст1925,1:0,Минай
10,"03.10.2021. Неділя, 19:30",Динамо,0:0,Шахтар
11,"15.10.2021. П`ятниця, 17:00",Шахтар,6:1,Зоря
11,"16.10.2021. Субота, 14:00",Маріуполь,1:2,Металіст1925
11,"16.10.2021. Субота, 17:00",Львів,1:4,Динамо
11,"16.10.2021. Субота, 19:30",Дніпро-1,2:0,Колос
11,"17.10.2021. Неділя, 14:00",Минай,0:0,Десна
